"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"23:43:40,6963960","parent.exe","20288","CreateFileMapping","C:\Users\kseni\lab3OSWaL\lab3OS\build\bin\child2.exe","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE_READ|PAGE_NOCACHE"
"23:43:40,6964152","parent.exe","20288","CreateFileMapping","C:\Users\kseni\lab3OSWaL\lab3OS\build\bin\child2.exe","SUCCESS","SyncType: SyncTypeOther"
"23:43:40,6964389","parent.exe","20288","CloseFile","C:\Users\kseni\lab3OSWaL\lab3OS\build\bin\child2.exe","SUCCESS",""
"23:43:40,6966930","parent.exe","20288","CloseFile","C:\Users\kseni\lab3OSWaL\lab3OS\build\bin\child2.exe","SUCCESS",""
"23:43:40,6967273","parent.exe","20288","RegOpenKey","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\Shell Folders","SUCCESS","Desired Access: Query Value"
"23:43:40,6967452","parent.exe","20288","RegQueryValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\Shell Folders\Cache","SUCCESS","Type: REG_SZ, Length: 114, Data: C:\Users\kseni\AppData\Local\Microsoft\Windows\INetCache"
"23:43:40,6967610","parent.exe","20288","RegCloseKey","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\Shell Folders","SUCCESS",""
"23:43:40,6967786","parent.exe","20288","QuerySecurityFile","C:\Users\kseni\lab3OSWaL\lab3OS\build\bin\child2.exe","SUCCESS","Information: Owner, Group, DACL, SACL, Label, Attribute, Process Trust Label, 0x100"
"23:43:40,6967917","parent.exe","20288","QueryBasicInformationFile","C:\Users\kseni\lab3OSWaL\lab3OS\build\bin\child2.exe","SUCCESS","CreationTime: 20.11.2025 23:18:21, LastAccessTime: 20.11.2025 23:43:40, LastWriteTime: 20.11.2025 23:23:37, ChangeTime: 20.11.2025 23:23:37, FileAttributes: A"
"23:43:40,6968275","parent.exe","20288","RegOpenKey","HKLM\Software\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\SdbUpdates","SUCCESS","Desired Access: Read"
"23:43:40,6968401","parent.exe","20288","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\SdbUpdates\sysmain.sdb","NAME NOT FOUND","Length: 0"
"23:43:40,6968505","parent.exe","20288","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\SdbUpdates","SUCCESS",""
"23:43:40,6969160","parent.exe","20288","CreateFile","C:\Windows\apppatch\sysmain.sdb","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"23:43:40,6969520","parent.exe","20288","QueryStandardInformationFile","C:\Windows\apppatch\sysmain.sdb","SUCCESS","AllocationSize: 4 128 768, EndOfFile: 4 127 356, NumberOfLinks: 3, DeletePending: False, Directory: False"
"23:43:40,6969615","parent.exe","20288","QueryStandardInformationFile","C:\Windows\apppatch\sysmain.sdb","SUCCESS","AllocationSize: 4 128 768, EndOfFile: 4 127 356, NumberOfLinks: 3, DeletePending: False, Directory: False"
"23:43:40,6969727","parent.exe","20288","CreateFileMapping","C:\Windows\apppatch\sysmain.sdb","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE_READ|PAGE_NOCACHE"
"23:43:40,6969837","parent.exe","20288","QueryStandardInformationFile","C:\Windows\apppatch\sysmain.sdb","SUCCESS","AllocationSize: 4 128 768, EndOfFile: 4 127 356, NumberOfLinks: 3, DeletePending: False, Directory: False"
"23:43:40,6970014","parent.exe","20288","CreateFileMapping","C:\Windows\apppatch\sysmain.sdb","SUCCESS","SyncType: SyncTypeOther"
"23:43:40,6970339","parent.exe","20288","RegOpenKey","HKLM\Software\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\SdbUpdates","SUCCESS","Desired Access: Read"
